0YEAR,1DRIVER COUNT,[2COUNTRY,3DRIVER,4COUNTRY,5DRIVER,6COUNTRY,7DRIVER],6/8COUNTRY,7/9TEAM,8/10CAR MAUFACTURER,9/11CAR MAKE,10/12TYRE,11/13LAPS,12/14DISTANCE
1923,2,France,André Lagache,France,René Léonard,France,Chenard & Walcker SA,Chenard-Walcker,Sport 3-Litre,M,128,2209.536 km
1924,2,Canada,John Duff,United Kingdom,Frank Clement,United Kingdom,Duff & Aldington,Bentley,3 Litre Sport,D,120,2077.341 km
1925,2,France,Gérard de Courcelles,France,André Rossignol,France,No Team Name,Lorraine-Dietrich,B3-6,D,129,2233.982 km
1926,2,France,Robert Bloch,France,André Rossignol,France,No Team Name,Lorraine-Dietrich,B3-6,D,147,2552.414 km
1927,2,United Kingdom,Dudley Benjafield,United Kingdom,Sammy Davis,United Kingdom,Bentley Motors Ltd.,Bentley,3 Litre Super Sport,D,137,2369.807 km
1928,2,United Kingdom,Woolf Barnato,Australia,Bernard Rubin,United Kingdom,Bentley Motors Ltd.,Bentley,4½ Litre,D,154,2669.272 km
1929,2,United Kingdom,Woolf Barnato,United Kingdom,Henry Birkin,United Kingdom,Bentley Motors Ltd.,Bentley,Speed Six,D,174,2843.83 km
1930,2,United Kingdom,Woolf Barnato,United Kingdom,Glen Kidston,United Kingdom,Bentley Motors Ltd.,Bentley,Speed Six,D,179,2930.663 km
1931,2,United Kingdom,Earl Howe,United Kingdom,Henry Birkin,United Kingdom,Earl Howe,Alfa Romeo,8C 2300,D,184,3017.654 km
1932,2,France,Raymond Sommer,Italy,Luigi Chinetti,France,Raymond Sommer,Alfa Romeo,8C 2300,E,218,2954.038 km
1933,2,France,Raymond Sommer,Italy,Tazio Nuvolari,Italy,Soc. Anon. Alfa Romeo,Alfa Romeo,8C 2300,E,233,3144.038 km
1934,2,Italy,Luigi Chinetti,France,Philippe Étancelin,Italy,Luigi Chinetti / Philippe Étancelin,Alfa Romeo,8C 2300,E,213,2886.938 km
1935,2,United Kingdom,Johnny Hindmarsh,United Kingdom,Luis Fontés,United Kingdom,Arthur W. Fox / Charles Nichol,Lagonda,M45R Rapide,D,222,3006.797 km
1937,2,France,Jean-Pierre Wimille,France,Robert Benoist,France,Roger Labric,Bugatti,Type 57G Tank,D,243,3287.938 km
1938,2,France,Eugène Chaboud,France,Jean Trémoulet,France,Eugène Chaboud / Jean Trémoulet,Delahaye,135CS,D,235,3180.94 km
1939,2,France,Jean-Pierre Wimille,France,Pierre Veyron,France,Jean-Pierre Wimille,Bugatti,Type 57S Tank,D,248,3354.76 km
1949,2,United States,Luigi Chinetti,United Kingdom,Peter Mitchell-Thomson,United Kingdom,Lord Selsdon,Ferrari,166 MM,E,235,3178.299 km
1950,2,France,Louis Rosier,France,Jean-Louis Rosier,France,Louis Rosier,Talbot-Lago,Grand Sport T26,D,256,3465.12 km
1951,2,United Kingdom,Peter Walker,United Kingdom,Peter Whitehead,United Kingdom,Peter Walker,Jaguar,XK-120C,D,267,3611.193 km
1952,2,West Germany,Hermann Lang,West Germany,Fritz Riess,West Germany,Daimler-Benz A.G.,Mercedes-Benz,W194,C,277,3733.839 km
1953,2,United Kingdom,Tony Rolt,United Kingdom,Duncan Hamilton,United Kingdom,Jaguar Cars Ltd.,Jaguar,C-Type,D,304,4088.064 km
1953,2,United Kingdom,Tony Rolt,United Kingdom,Duncan Hamilton,United Kingdom,Jaguar Cars Ltd.,Jaguar,C-Type,D,304,4088.064 km
1954,2,Argentina,José Froilán González,France,Maurice Trintignant,Italy,Scuderia Ferrari,Ferrari,375 Plus,P,302,4061.15 km
1955,2,United Kingdom,Mike Hawthorn,United Kingdom,Ivor Bueb,United Kingdom,Jaguar Cars Ltd.,Jaguar,D-Type,D,307,4135.38 km
1956,2,United Kingdom,Ron Flockhart,United Kingdom,Ninian Sanderson,United Kingdom,Ecurie Ecosse,Jaguar,D-Type,D,300,4034.939 km
1957,2,United Kingdom,Ron Flockhart,United Kingdom,Ivor Bueb,United Kingdom,Ecurie Ecosse,Jaguar,D-Type,D,327,4397.108 km
1958,2,Belgium,Olivier Gendebien,United States,Phil Hill,Italy,Scuderia Ferrari,Ferrari,250 TR58,E,305,4101.926 km
1959,2,United States,Carroll Shelby,United Kingdom,Roy Salvadori,United Kingdom,David Brown Racing Dept.,Aston Martin,DBR1,A,323,4347.9 km
1960,2,Belgium,Olivier Gendebien,Belgium,Paul Frère,Italy,Scuderia Ferrari,Ferrari,250 TR59/60,D,314,4217.527 km
1961,2,Belgium,Olivier Gendebien,United States,Phil Hill,Italy,Scuderia Ferrari,Ferrari,250 TRI/61,D,333,4476.58 km
1962,2,Belgium,Olivier Gendebien,United States,Phil Hill,Italy,SpA Ferrari SEFAC,Ferrari,330 TRI/LM Spyder,D,331,4451.255 km
1963,2,Italy,Ludovico Scarfiotti,Italy,Lorenzo Bandini,Italy,SpA Ferrari SEFAC,Ferrari,250 P,D,339,4561.71 km
1964,2,France,Jean Guichet,Italy,Nino Vaccarella,Italy,SpA Ferrari SEFAC,Ferrari,275 P,D,349,4695.31 km
1965,3,Austria,Jochen Rindt,United States,Masten Gregory,United States,Ed Hugus,United States,North American Racing Team,Ferrari,250 LM,G,348,4677.11 km
1966,2,New Zealand,Bruce McLaren,New Zealand,Chris Amon,United States,Shelby-American Inc.,Ford,GT40 Mk. II,G,360,4843.09 km
1967,2,United States,Dan Gurney,United States,A. J. Foyt,United States,Shelby-American Inc.,Ford,GT40 Mk. IV,G,388,5232.9 km
1968,2,Mexico,Pedro Rodríguez,Belgium,Lucien Bianchi,United Kingdom,J.W. Automotive Engineering,Ford,GT40 Mk. I,F,331,4452.88 km
1969,2,Belgium,Jacky Ickx,United Kingdom,Jackie Oliver,United Kingdom,J.W. Automotive Engineering,Ford,GT40 Mk. I,F,372,4997.88 km
1970,2,West Germany,Hans Herrmann,United Kingdom,Richard Attwood,Austria,Porsche KG Salzburg,Porsche,917K,G,343,4607.81 km
1971,2,Austria,Helmut Marko,Netherlands,Gijs van Lennep,West Germany,Martini Racing Team,Porsche,917K,F,397,5335.313 km
1972,2,France,Henri Pescarolo,United Kingdom,Graham Hill,France,Equipe Matra-Simca Shell,Matra-Simca,MS670,G,344,4691.343 km
1973,2,France,Henri Pescarolo,France,Gérard Larrousse,France,Equipe Matra-Simca Shell,Matra-Simca,MS670B,G,355,4853.945 km
1974,2,France,Henri Pescarolo,France,Gérard Larrousse,France,Equipe Gitanes,Matra-Simca,MS670C,G,337,4606.571 km
1975,2,Belgium,Jacky Ickx,United Kingdom,Derek Bell,United Kingdom,Gulf Research Racing Co.,Mirage,GR8-Ford Cosworth,G,336,4594.577 km
1976,2,Belgium,Jacky Ickx,Netherlands,Gijs van Lennep,West Germany,Martini Racing Porsche System,Porsche,936,G,349,4769.923 km
1977,3,Belgium,Jacky Ickx,United States,Hurley Haywood,West Germany,Jürgen Barth,West Germany,Martini Racing Porsche System,Porsche,936/77,D,342,4671.83 km
1978,2,France,Jean-Pierre Jaussaud,France,Didier Pironi,France,Alpine Renault,Renault,Alpine A442B,M,369,5044.53 km
1979,3,West Germany,Klaus Ludwig,United States,Bill Whittington,United States,Don Whittington,West Germany,Porsche Kremer Racing,Porsche,935 K3,D,307,4173.93 km
1980,2,France,Jean Rondeau,France,Jean-Pierre Jaussaud,France,Jean Rondeau,Rondeau,M379B-Ford Cosworth,G,338,4608.02 km
1981,2,Belgium,Jacky Ickx,United Kingdom,Derek Bell,West Germany,Porsche System,Porsche,936,D,354,4825.348 km
1982,2,Belgium,Jacky Ickx,United Kingdom,Derek Bell,West Germany,Rothmans Porsche System,Porsche,956,D,359,4899.086 km
1983,3,Australia,Vern Schuppan,United States,Al Holbert,United States,Hurley Haywood,West Germany,Rothmans Porsche,Porsche,956,D,370,5047.934 km
1984,2,West Germany,Klaus Ludwig,France,Henri Pescarolo,West Germany,Joest Racing,Porsche,956,D,359,4900.276 km
1985,3,West Germany,Klaus Ludwig,Italy,Paolo Barilla,West Germany,"John Winter",West Germany,Joest Racing,Porsche,956,D,373,5088.507 km
1986,3,United Kingdom,Derek Bell,West Germany,Hans-Joachim Stuck,United States,Al Holbert,West Germany,Rothmans Porsche AG,Porsche,962C,D,367,4972.731 km
1987,3,United Kingdom,Derek Bell,West Germany,Hans-Joachim Stuck,United States,Al Holbert,West Germany,Rothmans Porsche AG,Porsche,962C,D,354,4791.9 km
1988,3,Netherlands,Jan Lammers,United Kingdom,Johnny Dumfries,United Kingdom,Andy Wallace,United Kingdom,Silk Cut Jaguar,Jaguar,XJR-9LM,D,394,5332.97 km
1989,3,West Germany,Jochen Mass,West Germany,Manuel Reuter,Sweden,Stanley Dickens,West Germany,Team Sauber Mercedes,Sauber-Mercedes,C9-Mercedes-Benz,M,389,5265.115 km
1990,3,Denmark,John Nielsen,United States,Price Cobb,United Kingdom,Martin Brundle,United Kingdom,Silk Cut Jaguar,Jaguar,XJR-12,G,359,4882.4 km
1991,3,Germany,Volker Weidler,United Kingdom,Johnny Herbert,Belgium,Bertrand Gachot,Japan,Mazdaspeed Co. Ltd.,Mazda,787B,D,362,4922.81 km
1992,3,United Kingdom,Derek Warwick,France,Yannick Dalmas,United Kingdom,Mark Blundell,France,Peugeot Talbot Sport,Peugeot,905 Evo 1B,M,352,4787.2 km
1993,3,Australia,Geoff Brabham,France,Christophe Bouchut,France,Éric Hélary,France,Peugeot Talbot Sport,Peugeot,905 Evo 1B,M,375,5100 km
1994,3,France,Yannick Dalmas,United States,Hurley Haywood,Italy,Mauro Baldi,Germany,Le Mans Porsche Team,Dauer-Porsche,962 Le Mans,G,344,4678.4 km
1995,3,France,Yannick Dalmas,Finland,JJ Lehto,Japan,Masanori Sekiya,United Kingdom,Kokusai Kaihatsu Racing,McLaren,F1 GTR-BMW,M,298,4055.8 km
1996,3,Germany,Manuel Reuter,United States,Davy Jones,Austria,Alexander Wurz,Germany,Joest Racing,Porsche, TWR WSC-95,G,354,4814.4 km
1997,3,Italy,Michele Alboreto,Sweden,Stefan Johansson,Denmark,Tom Kristensen,Germany,Joest Racing,Porsche,TWR WSC-95,G,361,4909.6 km
1998,3,France,Laurent Aïello,United Kingdom,Allan McNish,Monaco,Stéphane Ortelli,Germany,Porsche AG,Porsche,911 GT1-98,M,351,4773.18 km
1999,3,Italy,Pierluigi Martini,France,Yannick Dalmas,Germany,Joachim Winkelhock,Germany,Team BMW Motorsport,BMW,V12 LMR,M,365,4968 km
2000,3,Germany,Frank Biela,Denmark,Tom Kristensen,Italy,Emanuele Pirro,Germany,Audi Sport Team Joest,Audi,R8,M,368,5007.99 km
2001,3,Germany,Frank Biela,Denmark,Tom Kristensen,Italy,Emanuele Pirro,Germany,Audi Sport Team Joest,Audi,R8,M,321,4381.65 km
2002,3,Germany,Frank Biela,Denmark,Tom Kristensen,Italy,Emanuele Pirro,Germany,Audi Sport Team Joest,Audi,R8,M,375,5118.75 km
2003,3,Denmark,Tom Kristensen,Italy,Rinaldo Capello,United Kingdom,Guy Smith,United Kingdom,Team Bentley,Bentley,Speed 8,M,377,5146.05 km
2004,3,Japan,Seiji Ara,Denmark,Tom Kristensen,Italy,Rinaldo Capello,Japan,Audi Sport Japan - Team Goh,Audi,R8,M,379,5169.9 km
2005,3,Finland,JJ Lehto,Germany,Marco Werner,Denmark,Tom Kristensen,United States,ADT Champion Racing,Audi,R8,M,370,5050.5 km
2006,3,Germany,Frank Biela,Italy,Emanuele Pirro,Germany,Marco Werner,Germany,Audi Sport Team Joest,Audi,R10 TDI,M,380,5187 km
2007,3,Germany,Frank Biela,Italy,Emanuele Pirro,Germany,Marco Werner,Germany,Audi Sport North America,Audi,R10 TDI,M,369,5036.85 km
2008,3,Denmark,Tom Kristensen,United Kingdom,Allan McNish,Italy,Rinaldo Capello,Germany,Audi Sport North America,Audi,R10 TDI,M,381,5192.65 km
2009,3,Australia,David Brabham,Spain,Marc Gené,Austria,Alexander Wurz,France,Peugeot Sport Total,Peugeot,908 HDi FAP,M,382,5206.28 km
2010,3,Germany,Mike Rockenfeller,Germany,Timo Bernhard,France,Romain Dumas,Germany,Audi Sport North America,Audi,R15 TDI plus,M,397,5410.71 km
2011,3,Switzerland,Marcel Fässler,Germany,André Lotterer,France,Benoît Tréluyer,Germany,Audi Sport Team Joest,Audi,R18 TDI,M,355,4838.30 km
2012,3,Switzerland,Marcel Fässler,Germany,André Lotterer,France,Benoît Tréluyer,Germany,Audi Sport Team Joest,Audi,R18 e-tron quattro,M,378,5151.76 km
2013,3,Denmark,Tom Kristensen,United Kingdom,Allan McNish,France,Loïc Duval,Germany,Audi Sport Team Joest,Audi,R18 e-tron quattro,M,348,4742.89 km
2014,3,Switzerland,Marcel Fässler,Germany,André Lotterer,France,Benoît Tréluyer,Germany,Audi Sport Team Joest,Audi,R18 e-tron quattro,M,379,5165.39 km
2015,3,Germany,Nico Hülkenberg,New Zealand,Earl Bamber,United Kingdom,Nick Tandy,Germany,Porsche Team,Porsche,919 Hybrid,M,395,5383.46 km
2016,3,France,Romain Dumas,Switzerland,Neel Jani,Germany,Marc Lieb,Germany,Porsche Team,Porsche,919 Hybrid,M,384,5233.53 km
2017,3,Germany,Timo Bernhard,New Zealand,Brendon Hartley,New Zealand,Earl Bamber,Germany,Porsche LMP Team,Porsche,919 Hybrid,M,367,5001.834 km
2018,3,Switzerland,Sébastien Buemi,Spain,Fernando Alonso,Japan,Kazuki Nakajima,Japan,Toyota Gazoo Racing,Toyota,TS050 Hybrid,M,388,5286.888 km
2019,3,Switzerland,Sébastien Buemi,Spain,Fernando Alonso,Japan,Kazuki Nakajima,Japan,Toyota Gazoo Racing,Toyota,TS050 Hybrid,M,385,5246.01 km